row ID	Glycine	row m/z	row retention time	Compound	C1-12H	C2-12H	C3-12H	C4-12H	C1-24H	C2-24H	C3-24H	C4-24H	C1-36H	C2-36H	C3-36H	C4-36H	C1-48H	C2-48H	C3-48H	C4-48H	C1-60H	C2-60H	C3-60H	C4-60H	C1-72H	C2-72H	C3-72H	C4-72H	M1-12H	M2-12H	M3-12H	M4-12H	M1-24H	M2-24H	M3-24H	M4-24H	M1-36H	M2-36H	M3-36H	M4-36H	M1-48H	M2-48H	M3-48H	M4-48H	M1-60H	M2-60H	M3-60H	M4-60H	M1-72H	M2-72H	M3-72H	M4-72H
32	P	147.1124234	0.7524828	Lysinium	0	0	0	0	8847.402	4554.074	7663.3613	0	27183.246	30451.025	38561.633	44136.09	153126.5	37447.344	53527.7	12998.542	34888.45	35488.473	62635.8	88262.164	31751.682	0	32852.133	95439.72	0	0	0	0	0	0	0	0	2284.2075	10388.123	10930.818	1965.6622	18721.648	14945.156	22430.629	7192.0806	26627.818	21608.863	22929.34	17901.008	51263.246	37459.438	10006.744	21335.234
34	P	156.076373	0.7582852	Histidine	0	0	0	0	85714.73	58795.062	76803.5	34327.69	136871.64	175988.27	174789.84	207955.44	534435.25	251640.1	290612.94	155184.69	247584.47	607451.2	354194.44	399987.94	637352.3	237125.77	555412.44	473932.97	0	0	0	0	13045.507	10515.001	14097.877	7009.161	92241.56	136834.52	134013.55	98161.05	205589.84	235065.2	287008.12	177991.06	345527.1	282891.66	289975.28	331760.28	585046.2	566098.8	251708.73	398793.38
35	P	175.1184632	0.75814736	Arginine	0	0	0	0	16104.868	10355.075	18252.53	6835.256	104322.47	139099.27	146354.97	165346.94	527364.7	157409.92	121094.484	64613.96	118906.83	198474.28	15544.839	74421.16	193560.45	14133.404	170407.16	151580.42	0	0	0	0	0	0	0	0	22933.219	47699.336	46323.336	24403.438	50612.242	69646.41	105668.086	45964.816	106922.21	87626.61	87311.05	87461.43	142141.47	115364.97	48289.234	71384.89
75	P	120.0653072	0.82359654	Threonin	0	0	0	0	43964.383	30457.758	41232.484	18146.344	34791.42	24252.18	39986.766	38958.836	155454.45	57117.113	93371.72	40140.74	30787.715	88709.22	184475.75	232805.69	139676.16	61850.734	162765.22	120648.234	0	0	0	0	9036.59	7556.9575	7978.5845	3865.4644	44803.203	59200.23	56284.977	44914.363	49837.477	86874.07	113059.03	81301.586	160285.17	86623.25	97784.875	114140.195	189911.16	171313.12	93769.336	109112.984
93	P	148.0600154	0.8257777	Glutamat	0	0	0	0	10400.65	6752.236	7513.142	0	0	0	0	0	128884.33	7294.1064	31720.914	9303.512	11299.658	34163.668	70476.67	225561.83	136939.69	62940.68	118411.52	271797	0	0	1807.4204	3986.0178	2255.525	0	0	0	4425.0503	14422.96	8409.017	13389.158	29022.13	43113.613	51505.406	36570.457	98356.34	27875.955	36263.484	34121.56	361356.16	320354.94	54990.53	54535.973
161	P	136.0614647	0.8726825	Adenine	0	0	0	0	59471.746	37031.875	44071.203	18138.883	23822.78	78501.11	34636.727	15250.972	54303.31	432724.62	394132.75	364092.16	98658.03	35669.508	37167.914	155366.97	48930.473	63462.33	529887.1	424944.75	0	0	0	0	9613.021	4829.3926	4734.623	0	60093.01	41850.105	75464.81	35274.05	89866.67	63155.97	82364.68	41463.145	116424.734	57546.887	86778.29	70440.84	59297.57	47332.062	33060.277	51524.824
218	P	124.0391077	0.9256248	Nicotinate	0	0	0	0	0	0	0	0	9893.618	10765.341	16627.88	8826.257	122178.19	133228.03	186709.95	147542.22	36165.555	213931.1	273078.2	525245.2	424120.3	827095.56	682203.56	326476.3	6583.7314	0	18029.545	11101.618	17793.953	11868.163	14129.238	8473.283	25534.1	44946.49	50436.816	21663.412	79547.04	106236.18	119911.29	106891.805	280079.38	112213.45	148962.23	181777.81	419300.56	350114.28	190329.27	283651.66
245	P	150.0579675	1.1111636	DL-methionine	0	0	0	0	5256.302	2961.0356	5739.9116	0	2199.687	5057.34	6968.887	2418.057	52984.62	35105.5	68732.65	12852.333	56523.96	27812.523	132340	133886.48	70010.875	43852.918	85049.625	190049.11	0	0	0	0	0	0	0	0	0	0	0	0	25396.18	10443.517	14966.075	2974.3618	46082.71	37182.957	45782.85	42968.023	107003.24	77942.66	33851.69	60202.414
256	P	182.0807352	1.1268752	Tyrosine	0	0	0	0	77445.945	56391.36	103255.31	35945.508	55320.45	64931.555	82595.96	95193.73	474059.72	130455.016	165359.14	81039.77	61750.316	91085.27	281709.44	440512.62	324087.75	90814.37	417181.56	301738.75	0	0	0	0	9359.564	5818.3438	6507.9106	0	121487.82	102477.23	95073.61	85443.47	124323.414	193992.42	246121.88	186210.06	483098.1	110852.25	168676.97	226687.77	772792.94	443082.9	163584.22	307764.16
258	P	165.0542154	1.1259319	Coumarate	0	0	0	0	16260.645	9855.026	21976.031	7412.897	9484.495	12898.048	17379.773	20290.229	85894.84	25923.043	30818.482	16321.16	12751.647	19765.457	53300.812	81746.24	59069.59	18712.994	81735.86	61267.938	0	0	0	0	0	0	0	0	20304.045	20877.936	18182.594	16110.088	24537.58	37930.355	45998.29	38538.805	100728.98	21952.45	36252.027	45834.613	159163.39	90231.79	34270.95	57653.78
