row ID	row m/z	row retention time	Compound	C1-12H	C2-12H	C3-12H	C4-12H	C1-24H	C2-24H	C3-24H	C4-24H	C1-36H	C2-36H	C3-36H	C4-36H	C1-48H	C2-48H	C3-48H	C4-48H	C1-60H	C2-60H	C3-60H	C4-60H	C1-72H	C2-72H	C3-72H	C4-72H	M1-12H	M2-12H	M3-12H	M4-12H	M1-24H	M2-24H	M3-24H	M4-24H	M1-36H	M2-36H	M3-36H	M4-36H	M1-48H	M2-48H	M3-48H	M4-48H	M1-60H	M2-60H	M3-60H	M4-60H	M1-72H	M2-72H	M3-72H	M4-72H
32	147.1124234	0.7524828	Lysinium	0	0	0	0	8847.402	4554.074	7663.3613	0	27183.246	30451.025	38561.633	44136.09	153126.5	37447.344	53527.7	12998.542	34888.45	35488.473	62635.8	88262.164	31751.682	0	32852.133	95439.72	0	0	0	0	0	0	0	0	2284.2075	10388.123	10930.818	1965.6622	18721.648	14945.156	22430.629	7192.0806	26627.818	21608.863	22929.34	17901.008	51263.246	37459.438	10006.744	21335.234
34	156.076373	0.7582852	Histidine	0	0	0	0	85714.73	58795.062	76803.5	34327.69	136871.64	175988.27	174789.84	207955.44	534435.25	251640.1	290612.94	155184.69	247584.47	607451.2	354194.44	399987.94	637352.3	237125.77	555412.44	473932.97	0	0	0	0	13045.507	10515.001	14097.877	7009.161	92241.56	136834.52	134013.55	98161.05	205589.84	235065.2	287008.12	177991.06	345527.1	282891.66	289975.28	331760.28	585046.2	566098.8	251708.73	398793.38
35	175.1184632	0.75814736	Arginine	0	0	0	0	16104.868	10355.075	18252.53	6835.256	104322.47	139099.27	146354.97	165346.94	527364.7	157409.92	121094.484	64613.96	118906.83	198474.28	15544.839	74421.16	193560.45	14133.404	170407.16	151580.42	0	0	0	0	0	0	0	0	22933.219	47699.336	46323.336	24403.438	50612.242	69646.41	105668.086	45964.816	106922.21	87626.61	87311.05	87461.43	142141.47	115364.97	48289.234	71384.89
40	154.1334521	0.77495295	N-[2-(1H-imidazol-5-yl)ethyl]propan-2-amine	0	0	0	0	0	0	0	0	0	0	0	0	18334.908	10551.804	11979.33	10697.629	4288.145	72659.47	51146.79	43961.25	140742.48	58178.81	130604.68	42067.176	0	0	0	0	0	0	0	0	0	0	0	0	0	3627.8105	10262.08	1892.2573	39898.355	22698.582	24003.77	29296.336	89938.79	85500.61	33346.1	58578.516
47	104.1069483	0.7923734	Cholinum	56617.67	119624.65	94939.44	138813.56	358585.9	249709.12	361195.28	139989.61	631353.06	835645	880661.1	742035	1316828.1	1707570.5	2495177.2	1353538.1	878193.7	1441972.5	2211733.5	3027904.8	1703380.2	1326253.8	2880132.5	2185663.2	342767.72	54655.99	450964.2	411312.03	281438.28	216759.45	243415.42	189376.94	500715	674803.7	856789.7	468149.62	758403.44	963951.9	1280687.1	812515.25	1873878.6	1285602.5	1558229.4	1552816.8	1908644	1617153.2	1236758.4	1540056.5
60	104.070596	0.8118368	4-aminobutanoate	0	0	0	0	44031.76	24879.203	43190.938	15125.302	30128.727	70104.87	47097.633	24172.51	94526.14	102299.336	157862.6	76275.016	34270.895	22023.484	358118.06	410559.12	24317.098	20207.285	49713.85	133698.86	0	0	0	0	0	0	0	0	77866.4	96913.53	98819.805	49872.6	50987.13	53073.6	102819.92	70342.91	126650.336	38114.914	44948.504	42844.125	73077.77	44503.234	20826.426	32324.375
63	147.0760196	0.81083673	Glutamin	0	0	0	0	40629.223	23304.762	37421.69	16228.376	20865.855	4813.411	19960.664	25375.307	182296.38	12642.199	12304.789	10365.085	14532.451	99716.57	0	22979.943	223505.06	130936.586	140044.11	85408.5	0	0	0	0	3823.4631	0	0	0	35723.54	42432.934	37436.855	37835.863	44558.27	66083.91	78576.15	81543.35	193038.12	65548.445	75164.78	84440.59	423292.84	451033.9	93554.78	118010.26
64	162.1119787	0.81236523	Carnitin	0	0	0	0	23342.062	14280.914	21577.977	7992.341	41080.29	31455.703	45789.625	41865.234	264741.97	88957.734	144982.88	119730.52	37394.727	233588.06	289133.6	532910.7	462609.88	354850.16	502504.28	301626.34	0	0	0	0	0	0	0	0	30856.473	45703.945	42933	32444.492	43847.508	80533.805	107021.984	124546.3	241926.3	100710.5	101187.664	167198.1	458897.66	363269.28	148859.25	196128.78
70	156.0417144	0.8339688	2-aminoethyl methyl phosphate	82257.7	126540.78	115416.71	102493.625	97686.11	86982.22	91084.52	62410.203	30866.02	22152.715	37039.62	46784.387	85478.41	17931.613	21565.963	10030.138	17229.121	21445.883	7900.3574	26679.506	20746.766	9841.826	22005.191	25836.793	19478.342	0	23480.076	21824.488	107448.164	57426.96	101723.195	81362.87	26043.34	36466.914	34468.355	31995.67	24866.902	24994.3	24986.744	0	27513.736	19780.727	20523.062	16632.395	0	21290.96	16108.3125	21123.508
73	258.1093959	0.81933427	Choline alfoscerate	0	0	0	0	0	0	0	0	26054.387	0	21776.812	27620.184	476388.53	3914.0671	0	0	4921.171	54149.96	0	8414.975	235079.14	14072.419	62372.875	49520.184	5190.303	0	11107.996	11926.7295	1976.277	0	1912.917	0	0	3732.9382	0	0	0	7275.314	13761.741	25444.104	36622.773	8539.901	8034.3535	17917.963	124574.85	131512.61	19938.84	33744.72
