,Group,1. Alpha-tocopherol,2. Dilinoleoylphosphatidylcholine,3. Phosphatidylcholine,4. Glyceryl monolinoleate,5. 1-Monolinolenin,6. Alpha-LA,7. Glycidyl Linoleate,8. Ethyl linolenate,9. Mandenol,10. Lysophosphatidylethanolamine,11. Daidzein,12. Sabiden,13. Isoleucine,14. Leucinum,15. Indoline,16. Genistein,17. Farnesylacetone
M12-1,1,1999898.6,34422.86,233689.81,553351.3,197861.4,3100759.5,403815.06,508485.12,581633.56,209486.14,2837991.8,0,40516.9,49989.81,0,3474819,783753.94
M12-2,1,2408046.8,1159580.4,316211.03,621673.94,261595.11,3734120.8,452838.84,778076.44,887121.75,329570.88,3626441.8,21119.107,70392.414,0,11543.236,4390524,893556.2
M12-3,1,2132898,171266.47,304162.66,605402.7,234654.33,3139053.5,447877.8,551104.5,630120.75,285885.97,2670319.2,19358.365,59380.145,0,9970.008,3247964.2,891215.7
M24-1,2,800085.44,56848.906,4890119.5,6034755.5,2386939.2,1.20E+07,5687656.5,1.59E+07,1.44E+07,1318990,3538528.8,66051.37,99272.9,0,39387.227,3378620.2,9032612
M24-2,2,820361.56,41515.074,3948214.5,5255037,1919061,9362742,4841839.5,1.33E+07,1.31E+07,1107451.1,2720323.8,51179.406,73781.8,0,21159.205,2704205.2,7811729.5
M24-3,2,745077.06,45794.086,5492187,6984371.5,2805007.5,1.17E+07,6705877.5,1.68E+07,1.40E+07,1380502.6,3325669.5,66219.01,89489.055,0,38731.9,3158943.2,1.03E+07
M36-1,3,1136264.1,0,5387124.5,2984877,1012800.56,8845659,2585333.2,1.39E+07,1.50E+07,1760604.1,3468223,451049.5,208725.06,0,238380.83,3529352.5,4552882.5
M36-2,3,740252.3,0,6555927.5,3237245.8,1095312.1,9975318,2742356,1.54E+07,1.57E+07,1874157.9,4092662.8,509695.25,236984.22,287125.22,304066.66,4356566,4740938.5
M36-3,3,785144.56,22713.18,6105102.5,4027709.8,1232337.9,7889837,3522885.2,1.41E+07,1.53E+07,1403848.9,3250778,0,163540.67,293910.66,0,3081978.8,5827595
M48-1,4,842538.1,34608.027,4471360,1658794.6,537523.9,9964582,1290773.1,1.12E+07,1.23E+07,2055575.1,4627176,1838733.1,592191.56,0,1116927,4667910.5,2411394.5
M48-2,4,772832.94,29205.18,4826208.5,2037373.2,595485.2,1.03E+07,1627567,1.19E+07,1.34E+07,2039378.4,4647256,1381923.8,451637.7,0,861035.75,4886123.5,2890377.2
M48-3,4,691482.1,11427.373,4552908.5,2215857.8,602324.1,6144813,1765448.4,1.02E+07,1.47E+07,1389266.1,3320444,400786.2,280042.66,445175,246255.48,2907470,3245152
M60-1,5,1135416,25194.652,5217110.5,1950378.2,561970.6,1.18E+07,1576745.6,1.15E+07,1.42E+07,2578020.8,6309862,0,900368.25,1752650.2,0,5644200,2823156
M60-2,5,1059940.2,47463.3,5620922.5,1988600,586733.06,1.26E+07,1602473.6,1.21E+07,1.43E+07,2690836.2,5020216,2907578.2,1054711.2,1293887.5,1767114.9,5865088.5,2937296.8
M60-3,5,1001886.6,9561.123,5228748.5,1941140.1,531196.25,1.13E+07,1554453.6,1.06E+07,1.44E+07,2382717.2,4582180,2234396.8,854112.8,0,1391392,4565623.5,2783976
M72-1,6,762025.3,7298.7725,3416015,1345230.2,357238.25,9194311,1035637.56,7872084.5,1.03E+07,1667384.2,5154742.5,0,1594922.9,2227670.8,1615494.6,4415615.5,1949760.2
M72-2,6,853008,15205.408,4264215.5,1745734.2,444325.5,9121895,1400824.6,9398180,1.34E+07,1846332,4905946,2187408.8,1359782,1832518.8,1334487.2,4312406,2528099.2
M72-3,6,884215.7,15737.726,4280013,1722034.5,447305.6,1.14E+07,1352175.6,9201429,1.33E+07,2393705.8,5533557.5,2266779,1277092,1610839.2,1382325,4970221,2484814.8
