# Constructed from biom file
#OTU ID	C1-12H	C1-24H	C1-36H	C1-48H	C1-60H	C1-72H	C2-0H	C2-12H	C2-24H	C2-36H	C2-48H	C2-60H	C2-72H	C3-0H	C3-12H	C3-24H	C3-36H	C3-48H	C3-60H	C3-72H	M1-12H	M1-24H	M1-36H	M1-48H	M1-60H	M1-72H	M2-12H	M2-24H	M2-36H	M2-48H	M2-60H	M2-72H	M3-12H	M3-24H	M3-36H	M3-48H	M3-60H	M3-72H	S1	S2	S3
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	7392.0	13631.0	19163.0	15917.0	18946.0	17522.0	14486.0	8754.0	15145.0	18386.0	17239.0	19648.0	19311.0	9223.0	8016.0	14206.0	16031.0	21841.0	20230.0	20570.0	12575.0	17125.0	22236.0	22690.0	21467.0	22206.0	14556.0	18180.0	22322.0	21923.0	20050.0	23746.0	13605.0	18078.0	23091.0	22176.0	21384.0	23546.0	15331.0	17483.0	23399.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales	0.0	2.0	1.0	162.0	579.0	1953.0	20.0	0.0	3.0	0.0	0.0	91.0	1224.0	10.0	0.0	5.0	6.0	105.0	667.0	52.0	0.0	1.0	0.0	3.0	41.0	0.0	0.0	0.0	0.0	4.0	18.0	13.0	0.0	0.0	0.0	8.0	229.0	55.0	25.0	26.0	28.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	180.0	1266.0	1607.0	4887.0	2680.0	2834.0	195.0	137.0	955.0	1908.0	3627.0	1735.0	1801.0	202.0	113.0	722.0	2487.0	832.0	1317.0	2245.0	2479.0	1197.0	945.0	1599.0	2685.0	1548.0	1929.0	1918.0	1198.0	1598.0	4319.0	973.0	1591.0	1875.0	661.0	1691.0	1910.0	1089.0	7748.0	5543.0	2256.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.0	0.0	0.0	0.0	14.0	0.0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	12.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	19408.0	11523.0	6155.0	5799.0	4719.0	4154.0	10339.0	18032.0	10657.0	6502.0	6086.0	5456.0	4478.0	15992.0	18826.0	11906.0	8230.0	4183.0	4335.0	4062.0	11782.0	8438.0	3620.0	2665.0	2721.0	3207.0	10330.0	6316.0	3401.0	3371.0	2424.0	2096.0	11612.0	6640.0	3152.0	3079.0	3414.0	2199.0	442.0	383.0	96.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	9.0	553.0	31.0	173.0	54.0	44.0	1537.0	68.0	141.0	144.0	30.0	18.0	125.0	822.0	40.0	134.0	212.0	2.0	35.0	19.0	142.0	197.0	148.0	9.0	22.0	1.0	158.0	521.0	3.0	9.0	7.0	29.0	116.0	377.0	59.0	12.0	15.0	11.0	3412.0	3536.0	1217.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	0.0	0.0	0.0	19.0	0.0	347.0	6.0	0.0	18.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	0.0	0.0	370.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	3.0	0.0	2.0	0.0	0.0	2.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	14.0	6.0	7.0	5.0	0.0	5.0	7.0	3.0	55.0	0.0	20.0	33.0	12.0	7.0	15.0	4.0	1.0	42.0	29.0	4.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned;__;__;__	6.0	25.0	41.0	43.0	8.0	71.0	367.0	5.0	81.0	41.0	16.0	52.0	58.0	677.0	5.0	9.0	34.0	37.0	46.0	40.0	22.0	28.0	39.0	27.0	59.0	34.0	22.0	26.0	11.0	16.0	57.0	123.0	43.0	18.0	25.0	13.0	43.0	99.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	19.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
