SampleID	UniqID	Replicate	Group	Hour
C1-0H	C1-0H	C1	C	0
C1-12H	C1-12H	C1	C	12
C1-24H	C1-24H	C1	C	24
C1-36H	C1-36H	C1	C	36
C1-48H	C1-48H	C1	C	48
C1-60H	C1-60H	C1	C	60
C1-72H	C1-72H	C1	C	72
C2-0H	C2-0H	C2	C	0
C2-12H	C2-12H	C2	C	12
C2-24H	C2-24H	C2	C	24
C2-36H	C2-36H	C2	C	36
C2-48H	C2-48H	C2	C	48
C2-60H	C2-60H	C2	C	60
C2-72H	C2-72H	C2	C	72
C3-0H	C3-0H	C3	C	0
C3-12H	C3-12H	C3	C	12
C3-24H	C3-24H	C3	C	24
C3-36H	C3-36H	C3	C	36
C3-48H	C3-48H	C3	C	48
C3-60H	C3-60H	C3	C	60
C3-72H	C3-72H	C3	C	72
M1-0H	M1-0H	M1	M	0
M1-12H	M1-12H	M1	M	12
M1-24H	M1-24H	M1	M	24
M1-36H	M1-36H	M1	M	36
M1-48H	M1-48H	M1	M	48
M1-60H	M1-60H	M1	M	60
M1-72H	M1-72H	M1	M	72
M2-0H	M2-0H	M2	M	0
M2-12H	M2-12H	M2	M	12
M2-24H	M2-24H	M2	M	24
M2-36H	M2-36H	M2	M	36
M2-48H	M2-48H	M2	M	48
M2-60H	M2-60H	M2	M	60
M2-72H	M2-72H	M2	M	72
M3-0H	M3-0H	M3	M	0
M3-12H	M3-12H	M3	M	12
M3-24H	M3-24H	M3	M	24
M3-36H	M3-36H	M3	M	36
M3-48H	M3-48H	M3	M	48
M3-60H	M3-60H	M3	M	60
M3-72H	M3-72H	M3	M	72
S1	S1	S1	S	
S2	S2	S2	S	
S3	S3	S3	S	
