	Metabolite	r_Pearson	p_Pearson	r_Spearman	p_Spearman	p_Pearson_adj	p_Spearman_adj
27	DL-methionine	0.42996041094421944	0.008864167211105658	0.7837247011026451	1.5821445015556524e-08	0.07028234998838226	3.994146660669297e-06
128	Dibutyl 3-oxopentanedioate	0.43571440982007736	0.00790240483300711	0.7731260681659557	3.2649700223454744e-08	0.06591324031167294	3.994146660669297e-06
219	Linoleyl aldehyde	0.3385153930359709	0.043438078627616276	0.7739620273499217	3.087988777253261e-08	0.18978303400399016	3.994146660669297e-06
38	Thymine	0.4945056340887712	0.0021716481924444757	0.7553397763351394	1.0137026003844036e-07	0.029222850935699544	9.300721358526903e-06
21	Pyridoxine (vitamin B6)	0.6494835798181372	1.820268902338125e-05	0.7380366489545659	2.7953495830865145e-07	0.0011133978119301532	1.709822161654585e-05
129	5-butoxy-3-butoxycarbonyl-3-hydroxy-5-oxopentanoic acid	0.45563978553380996	0.00522889461868112	0.7406049736704713	2.4167242883652014e-07	0.0564413036781168	1.709822161654585e-05
35	Tyramine 	0.5099913708088656	0.0014858768824028141	0.7169497946659986	8.695667179701268e-07	0.024290731524021236	2.6594248791253048e-05
1	Histidine	0.3978893066728617	0.016249972524374084	0.7215756609565409	6.838905024730574e-07	0.11043962808232016	2.6594248791253048e-05
3	N-[2-(1H-imidazol-5-yl)ethyl]propan-2-amine	0.5634463681415427	0.0003460893355600611	0.7176369611955411	8.393356419405465e-07	0.010186913546726057	2.6594248791253048e-05
36	4-Vinylphenol	0.5069094864917076	0.0016047125925401408	0.7179281311021367	8.268195387914012e-07	0.024290731524021236	2.6594248791253048e-05
53	3-ethenyl-1H-indole	0.3460184446307482	0.038716885457106394	0.7186687153788259	7.957533940755399e-07	0.17642807124093932	2.6594248791253048e-05
378	Didecanoylphosphatidic acid	0.5068757928197705	0.0016060566435014529	0.7234991038420356	6.180218955289694e-07	0.024290731524021236	2.6594248791253048e-05
116	Oleanolic aldehyde	0.3843062815989407	0.020660832245979633	0.7143769143184164	9.918548739560021e-07	0.12035754657578611	2.8000826057065595e-05
7	Carnitin	0.5223278127060256	0.0010840704467549858	0.7093960098451643	1.2745257098797037e-06	0.020939676524162093	3.341078110898937e-05
114	Soyasaponin II	0.3633140764268976	0.029406952378053238	0.7056213198253773	1.5360203022904073e-06	0.1564108916339933	3.546244766759538e-05
119	Soyasaponin III	0.37501004968954976	0.024221008601530106	0.7054886593027556	1.5460467647997983e-06	0.13267328592181415	3.546244766759538e-05
50	DL-Tryptophan	0.33186272453190413	0.04800283959095784	0.6929891919855338	2.8104389340128595e-06	0.19598487377240045	3.799501594634537e-05
122	Soyasaponin IV	0.4330145256454446	0.008341948562054084	0.6975266329244584	2.270165605698056e-06	0.06803322493941887	3.799501594634537e-05
29	Pidolate	0.17944634086346425	0.2950024546188282	0.6955347807296942	2.4943932056565048e-06	0.4330636033804398	3.799501594634537e-05
19	Imidazole-4-acrylic acid	0.28124187888206703	0.09658730775350488	0.6991108119071231	2.1051785288285712e-06	0.2740893929597672	3.799501594634537e-05
46	Phenethylamine	0.704959647559813	1.586628922180703e-06	0.6975310627429944	2.2696881967445e-06	0.00016284906479805238	3.799501594634537e-05
49	3-indoleacrylate	0.329766298120923	0.04951848852343951	0.6937278009686758	2.7151604008206167e-06	0.1975357096532859	3.799501594634537e-05
271	3-[4-(Pentadec-4-enylamino)phenyl]prop-2-ynoic acid	0.3152955231736784	0.06105406563888748	0.6946607855157375	2.599034775202914e-06	0.21754215620846318	3.799501594634537e-05
12	Glutamat	0.18394049036708388	0.28287224719050424	0.6984177569752483	2.1759572399466745e-06	0.4186053012859478	3.799501594634537e-05
325	Ethyl dihomo-gamma-linolenate 	0.5400998527017273	0.0006737363758336571	0.6971814745063282	2.3076478544351622e-06	0.015453828120684512	3.799501594634537e-05
352	Linoleyl alcohol	0.4559616527599135	0.005193091388949812	0.6976428032133721	2.257676102201065e-06	0.0564413036781168	3.799501594634537e-05
382	Tetracosanamide	0.5300339830754908	0.0008848559505867223	0.6957280159667668	2.4717845425770296e-06	0.0191024784626663	3.799501594634537e-05
357	Gondoic Acid	0.36137061457877906	0.030351128228362004	0.6923243903815568	2.8988023065331617e-06	0.15912662942584077	3.799501594634537e-05
117	[(2R,4aR,6aR,6aS,6bR,8aR,9S,10S,12aR,14bS)-10-acetyloxy-9-(acetyloxymethyl)-2,4a,6a,6b,9,12a-hexamethyl-4-oxo-3,5,6,6a,7,8,8a,10,11,12,13,14b-dodecahydro-1H-picen-2-yl]methyl acetate	0.3538514062022164	0.0342412337395776	0.6905914218349813	3.1412262050759485e-06	0.16844087482766704	3.9752759215961144e-05
277	Palmitoleate	0.38482157273694545	0.020476977247637685	0.689742558385074	3.2666160142286354e-06	0.12035754657578611	3.996160257406364e-05
